Ah,T,P,V,Time
-0,24.0813,-0.2244367332,4.18413,0
-6e-05,24.0813,-1.0359914,4.1816,1.00100040435791
-0.00013,24.0813,-1.0359096425,4.18127,2.00399234890938
-0.0002,24.0813,-1.0358254075,4.18093,2.99699641764164
-0.00027,24.0813,-1.03578329,4.18076,3.99700105190277
-0.00034,24.0813,-1.0250388621,4.18059,5.00300042331219
-0.00041,24.0813,-1.035659415,4.18026,6.0040008276701
-0.00048,24.0813,-1.0356172975,4.18009,6.99699483811855
-0.00054,24.0813,-1.0248745848,4.17992,8.00099261105061
-0.00061,24.0813,-1.0248329025,4.17975,9.0029988437891
-0.00068,24.0813,-1.035490945,4.17958,9.99599285423756
-0.00075,24.0813,-1.0354488275,4.17941,11.0000006854534
-0.00082,24.0813,-1.0247078556,4.17924,12.0060000568628
-0.00089,24.0813,-1.03536707,4.17908,13.0059946328402
-0.00095,24.0813,-1.0353249525,4.17891,14.0010003000498
-0.00102,24.0813,-1.0245852606,4.17874,15.0029964745045
-0.00109,24.0813,-1.0245435783,4.17857,16.0059984773397
-0.00116,24.0813,-1.0352407175,4.17857,17.0129936188459
-0.00123,24.0813,-1.024501896,4.1784,18.0059976875782
-0.0013,24.0813,-1.0351564825,4.17823,18.9979959279299
-0.00136,24.0813,-1.035114365,4.17806,19.9989963322878
-0.00143,24.0813,-1.024379301,4.1779,21.0039999336004
-0.00169,24.0813,-10.0758070272,4.16576,22.002998739481
-0.00237,24.0813,-14.6840079582,4.14806,22.9949969798326
-0.00336,24.18646,-20.8040752298,4.13053,24.0019921213388
-0.00482,24.18646,-26.2008021968,4.10828,25.0029925256968
-0.00661,24.18646,-27.30982947,4.08738,25.9950008243322
-0.00865,24.0813,-7.9606636116,4.07963,27.0010001957417
-0.00919,24.0813,-9.1330854912,4.12918,28.000994771719
-0.01003,24.0813,-37.4113841292,4.10643,29.0009994059801
-0.0126,24.18646,-20.1408450507,4.04811,29.9959950149059
-0.01386,24.0813,-17.5381601623,4.09463,30.999992787838
-0.01487,24.0813,-6.1800763596,4.10811,32.0040006190538
-0.01529,24.0813,0.0210870793,4.12663,33.0149989575148
-0.01524,24.0813,0.9430074684,4.14837,33.9959934353828
-0.01502,24.0813,3.3774290872,4.15832,35.0009970366955
-0.0148,24.0813,3.0815222346,4.16034,35.9949968755245
-0.01466,24.0813,2.2525152,4.16,37.0039936155081
-0.01446,24.0813,23.2826798578,4.17197,38.0039982497692
-0.01334,24.0813,11.3993101222,4.19861,38.998993858695
-0.01244,24.0813,-0.0214472321,4.19711,39.9979926645756
-0.01262,24.0813,-3.6933226342,4.15531,41.0029962658882
-0.01301,24.0813,-6.0467912019,4.14621,42.0159962028265
-0.01343,24.0813,-6.4129787852,4.14334,42.9989922791719
-0.01397,24.0813,-14.642652168,4.1334,44.0009985119104
-0.015,24.0813,-27.5660150355,4.10845,44.9969999492168
-0.01687,24.0813,-28.4657585016,4.07204,46.0050009191036
-0.01897,24.0813,-30.5405089715,4.05889,47.0029938966036
-0.02088,24.0813,-7.765839844,4.07036,48.0029985308647
